"year","month","day","ssp126","ssp245","ssp370","ssp585"
2040,8,15,0.9276,0.4268,2.5113,1.4013
2040,8,16,0,9.1058,17.4986,0.783
2040,8,17,0,4.6067,14.538,2.7039
2040,8,18,0,6.1691,4.7476,7.1677
2040,8,19,0,5.4041,0,7.8325
2040,8,20,0.1016,15.5027,0.0763,2.4244
2040,8,21,5.155,4.336,11.1899,1.2796
2040,8,22,6.0669,0.6045,7.7011,1.503
2040,8,23,1.9648,3.8074,0.0054,0.0012
2040,8,24,0.0818,19.5134,0.8639,0.0243
2040,8,25,1.4182,13.6091,5.145,0.0058
2040,8,26,4.2933,13.6375,8.3113,0.0111
2040,8,27,9.7669,1.616,10.7193,0.0688
2040,8,28,2.429,0,0,0.0956
2040,8,29,0.6537,0.0107,0.1642,0.1164
2040,8,30,0.676,1.9019,0.124,3.1851
2040,8,31,1.2605,3.0958,0.0559,6e-04
2041,8,1,8.047,0,0,8.8124
2041,8,2,4.5891,0,0.2994,0.3214
2041,8,3,1.7851,0.024,0.0046,0
2041,8,4,0.0383,0.001,0.0198,1.7234
2041,8,5,16.2342,5.7896,0.5038,3.4524
2041,8,6,1.6876,5.835,4.5271,4.7447
2041,8,7,7.8564,4.8825,1.769,0.6177
2041,8,8,4.793,1.1778,1.8403,0
2041,8,9,0.1091,0.1167,1.6622,0
2041,8,10,0.1305,0.6035,8.776,1.9122
2041,8,11,0.2045,0.6428,12.3967,10.8673
2041,8,12,0.6495,0.8364,0.2143,0.0511
2041,8,13,0.0077,7.8695,0,6e-04
2041,8,14,3.3845,6.8523,5.4176,4.5318
2041,8,15,7.3404,5.9869,19.5037,17.3289
2041,8,16,11.5015,1.4731,10.4951,0.5705
2041,8,17,2.8566,0.2174,14.2733,0.3203
2041,8,18,2.4174,0.8404,1.7828,0.1332
2041,8,19,18.9398,3.888,0.0649,1.9
2041,8,20,8.0659,7.205,2.4391,0.6196
2041,8,21,0.2495,10.4162,0.3039,0.095
2041,8,22,2e-04,6.3175,1.4274,0
2041,8,23,0,0.9344,1.5554,0
2041,8,24,0.0321,0.9054,4.0863,0.0792
2041,8,25,5.4332,5.681,9.9015,0.3985
2041,8,26,15.1227,13.6274,0.9395,0.0771
